사용월,호선명,역ID,지하철역,승차승객수,하차승객수
Dec-20,1호선,1,서울역,"842,346","797,546"
Dec-20,1호선,10,동묘앞,"208,719","214,534"
Dec-20,1호선,2,시청,"429,145","423,621"
Dec-20,1호선,3,종각,"667,792","642,037"
Dec-20,1호선,4,종로3가,"493,106","450,421"
Dec-20,1호선,5,종로5가,"465,339","462,277"
Dec-20,1호선,6,동대문,"257,941","246,412"
Dec-20,1호선,7,신설동,"309,534","304,279"
Dec-20,1호선,8,제기동,"386,051","395,737"
Dec-20,1호선,9,청량리(서울시립대입구),"464,654","464,949"
Dec-20,2호선,11,시청,"463,728","445,131"
Dec-20,2호선,12,을지로입구,"810,382","813,339"
Dec-20,2호선,13,을지로3가,"412,714","405,805"
Dec-20,2호선,14,을지로4가,"284,176","278,093"
Dec-20,2호선,15,동대문역사문화공원(DDP),"251,261","277,576"
Dec-20,2호선,16,신당,"307,401","316,909"
Dec-20,2호선,17,상왕십리,"297,608","290,623"
Dec-20,2호선,18,왕십리(성동구청),"326,649","263,814"
Dec-20,2호선,19,한양대,"156,177","160,093"
Dec-20,2호선,20,뚝섬,"413,585","444,755"
Dec-20,2호선,21,성수,"687,363","749,676"
Dec-20,2호선,22,건대입구,"691,472","739,873"
Dec-20,2호선,23,구의(광진구청),"513,266","509,643"
Dec-20,2호선,24,강변(동서울터미널),"635,066","639,974"
Dec-20,2호선,25,잠실나루,"290,834","282,647"
Dec-20,2호선,26,잠실(송파구청),"1,340,632","1,328,801"
Dec-20,2호선,27,잠실새내,"419,767","420,816"
Dec-20,2호선,28,종합운동장,"137,793","148,841"
Dec-20,2호선,29,삼성(무역센터),"1,015,280","1,018,308"
Dec-20,2호선,30,선릉,"1,142,441","1,016,897"
Dec-20,2호선,31,역삼,"1,003,598","1,078,641"
Dec-20,2호선,32,강남,"1,607,275","1,560,608"
Dec-20,2호선,33,교대(법원.검찰청),"683,119","757,350"
Dec-20,2호선,34,서초,"439,405","431,482"
Dec-20,2호선,35,방배,"344,615","357,622"
Dec-20,2호선,36,사당,"745,970","810,868"
Dec-20,2호선,37,낙성대(강감찬),"597,690","580,917"
Dec-20,2호선,38,서울대입구(관악구청),"1,017,581","990,535"
Dec-20,2호선,39,봉천,"537,040","504,123"
Dec-20,2호선,40,신림,"1,419,139","1,380,788"
Dec-20,2호선,41,신대방,"594,547","581,841"
Dec-20,2호선,42,구로디지털단지,"1,293,506","1,304,647"
Dec-20,2호선,43,대림(구로구청),"565,816","580,223"
Dec-20,2호선,44,신도림,"1,057,418","1,026,968"
